Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-03-02,90.0,0.02,0.2,0.2052,0.0233,0.0121,0.0122
2019-03-02,90.0,9.55,10.25,0.2052,-0.9998,0.0046,0.0008
2019-03-09,65.0,12.35,12.8,0.2587,0.9998,0.0002,0.0001
2019-03-09,65.0,0.0,0.08,0.3489,-0.0041,0.0023,0.0018
2019-03-09,70.0,7.45,7.9,0.2587,0.9811,0.0118,0.007
2019-03-09,70.0,0.11,0.17,0.3489,-0.0599,0.0225,0.018
2019-03-09,72.0,5.75,6.0,0.3083,0.9005,0.0374,0.0265
2019-03-09,72.0,0.22,0.3,0.3209,-0.1081,0.0382,0.0282
2019-03-09,74.5,3.6,3.75,0.2766,0.7864,0.0694,0.0441
2019-03-09,74.5,0.5,0.58,0.28,-0.2165,0.0695,0.0442
2019-03-09,76.0,2.47,2.56,0.259,0.6739,0.0918,0.0547
2019-03-09,76.0,0.84,0.91,0.261,-0.328,0.092,0.0556
2019-03-09,77.5,1.5,1.6,0.2435,0.5262,0.1078,0.0604
2019-03-09,77.5,1.37,1.48,0.2475,-0.4758,0.1072,0.0604
2019-03-09,79.0,0.83,0.89,0.2348,0.3627,0.1053,0.0569
2019-03-09,79.0,2.17,2.29,0.2379,-0.6388,0.1056,0.0576
2019-03-09,80.5,0.41,0.44,0.2296,0.218,0.0846,0.0447
2019-03-09,80.5,3.2,3.35,0.2279,-0.7896,0.0865,0.0435
2019-03-09,83.0,0.07,0.13,0.2249,0.0678,0.0384,0.0199
2019-03-09,83.0,5.3,5.6,0.2094,-0.9581,0.0371,0.0144
2019-03-09,85.5,0.0,0.05,0.2249,0.0151,0.0112,0.0058
2019-03-09,85.5,7.8,8.35,0.2094,-1.0,0.0,0.0
2019-03-09,90.0,0.01,0.04,0.2249,0.0004,0.0005,0.0002
2019-03-09,90.0,12.0,12.8,0.2094,-1.0,0.0,0.0
2019-03-16,69.0,10.0,14.45,0.2644,0.9994,0.0005,0.0004
2019-03-16,69.0,0.01,0.07,0.2644,-0.0006,0.0005,0.0004
2019-03-16,73.0,6.0,10.15,0.2644,0.9836,0.0097,0.0065
2019-03-16,73.0,0.05,0.15,0.2644,-0.0164,0.0097,0.0065
2019-03-16,75.5,3.65,7.6,0.2644,0.9311,0.0315,0.0211
2019-03-16,75.5,0.06,2.28,0.2644,-0.0687,0.0315,0.0216
2019-03-16,78.0,3.25,4.0,0.2617,0.8059,0.066,0.0438
2019-03-16,78.0,0.22,2.48,0.2563,-0.1898,0.0668,0.0427
2019-03-16,79.5,2.41,2.76,0.2273,0.7116,0.0943,0.0544
2019-03-16,79.5,0.56,0.81,0.23,-0.2911,0.0944,0.0556
2019-03-16,81.5,1.05,1.43,0.2015,0.4977,0.1244,0.0635
2019-03-16,81.5,1.19,1.56,0.2088,-0.5041,0.1214,0.0636
2019-03-16,83.0,0.42,0.69,0.1841,0.303,0.1191,0.0556
2019-03-16,83.0,2.09,2.47,0.2079,-0.6791,0.1107,0.0582
2019-03-16,84.5,0.05,0.83,0.1853,0.1573,0.0815,0.0383
2019-03-16,84.5,1.88,5.8,0.1853,-0.8515,0.0842,0.0371
2019-03-16,87.0,0.01,2.14,0.1853,0.0352,0.0263,0.0124
2019-03-16,87.0,4.2,8.0,0.1853,-0.981,0.0293,0.0085
2019-03-16,89.0,0.0,2.13,0.1853,0.0074,0.007,0.0033
2019-03-16,89.0,6.0,10.2,0.1853,-1.0,0.0,0.0
2019-03-16,90.0,0.0,0.02,0.1853,0.003,0.0031,0.0015
2019-03-16,90.0,7.15,11.2,0.1853,-1.0,0.0,0.0
