Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-03-02,84.5,2.75,3.1,0.2341,-0.5909,0.0738,0.0899
2019-03-02,86.5,0.55,1.25,0.2561,0.3003,0.0592,0.0799
2019-03-02,86.5,2.9,6.0,0.2311,-0.7287,0.0649,0.076
2019-03-02,89.0,0.15,0.7,0.2561,0.1773,0.0442,0.0597
2019-03-02,89.0,5.8,6.6,0.2311,-0.8606,0.046,0.0531
2019-03-02,91.5,0.0,2.35,0.2561,0.094,0.0285,0.0385
2019-03-02,91.5,6.5,10.9,0.2311,-0.9449,0.0278,0.0272
2019-03-02,95.0,0.0,2.2,0.2561,0.0324,0.0123,0.0167
2019-03-02,95.0,10.9,13.1,0.2311,-1.0,0.0027,0.0001
2019-03-09,65.0,9.3,13.9,0.4179,0.9789,0.0081,0.0076
2019-03-09,65.0,0.0,0.25,0.4179,-0.0211,0.0081,0.0076
2019-03-09,70.0,6.5,7.3,0.4179,0.8697,0.0339,0.0316
2019-03-09,70.0,0.05,0.4,0.4179,-0.1301,0.034,0.0324
2019-03-09,71.0,5.7,6.1,0.3705,0.8562,0.041,0.0339
2019-03-09,71.0,0.3,0.7,0.3705,-0.1436,0.0411,0.0343
2019-03-09,73.5,3.6,4.3,0.3659,0.7231,0.0613,0.05
2019-03-09,73.5,0.8,1.05,0.3564,-0.2727,0.0628,0.0499
2019-03-09,75.0,2.4,3.1,0.3251,0.6331,0.0775,0.0562
2019-03-09,75.0,1.25,1.4,0.3347,-0.3707,0.0761,0.057
2019-03-09,76.5,1.75,2.0,0.316,0.511,0.0845,0.0596
2019-03-09,76.5,1.8,2.3,0.3417,-0.4893,0.0788,0.0596
2019-03-09,78.0,0.95,1.45,0.3091,0.3841,0.0827,0.0571
2019-03-09,78.0,2.65,3.0,0.3269,-0.6106,0.0795,0.0568
2019-03-09,79.5,0.4,1.05,0.2738,0.2433,0.0766,0.0468
2019-03-09,79.5,3.3,3.9,0.2738,-0.761,0.0778,0.046
2019-03-09,82.0,0.2,0.45,0.3118,0.1331,0.0462,0.0321
2019-03-09,82.0,5.4,6.1,0.3118,-0.8724,0.0471,0.0315
